A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Blast-Freeze | Unique items | The following unique items are related to Blast-Freeze:
Blessed | Description | Blessed is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree. [1]
Blessed | Description | It is spawnable on Small Cluster Jewel with the enchantments Added Small Passive Skills grant: #% increased maximum Mana , or [.] #% increased maximum Life or [.] +#% to Chaos Resistance.
Blessed | Unique items | The following unique items are related to Blessed:
Blessed Rebirth | Description | Blessed Rebirth is a notable passive skill which increases the maximum life for allied minions and makes recently summoned minions undamageable.
Blessed Rebirth | Description | This passive skill can only appear when placing cluster jewels into the player character's skill tree. It is either from Medium Cluster Jewel that has Added Small Passive Skills grant: Minions have 12% increased maximum Life enchantment, or Megalomaniac , a unique Medium Cluster Jewel.
Blessed Rebirth | Unique items | The following unique items are related to Blessed Rebirth:
Blight Encounter Chance | Description | Blight Encounter Chance is an atlas passive skill. It increases the chance of maps containing Blight encounters and increases the relative drop rate of Blight Scarabs.
Blightspawn | Description | Blightspawn is an atlas passive skill.
Blizzard Caller | Description | Blizzard Caller is a cluster jewel only notable passive skill.
Blizzard Caller | Unique items | The following unique items are related to Blizzard Caller:
Blood Artist | Description | Blood Artist is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Blood Artist | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Physical Damage over Time.
Blood Artist | Unique items | The following unique items are related to Blood Artist:
Blood Drinker | Description | Blood Drinker is a notable passive skill that grants increased maximum life and life recovery on Kill.
Blood Drinker | Anointment | Blight anointment to unlock the passive:
Warlock of the Mists that grants the Ravenous skill | Blood Hunt | Description | Blood Hunt is a notable Ascendancy passive skill for the Warlock of the Mists that grants the Ravenous skill. Allocating this passive also grants the ability to see a monster 's monster category under their health bar.
Blood Magic | Description | Blood Magic (often referred to as BM ) is a keystone passive skill that converts all mana cost and reservation to use life instead. It also gives you more maximum life and removes your mana.
Blood Magic | Mechanics | Skills that reserve mana will reserve life and skills that cost mana will cost life instead. Mods that affect mana cost and mana reservation such as X% increased/reduced Mana Cost of Skills , + X to Total Mana Cost of Skills and X% increased/reduced Mana Reservation Efficiency of Skills have no effect on the life cost and life reservation of skills. It is not possible to commit suicide through Blood Magic.
Blood Magic | Mechanics | If taken with Eldritch Battery , your energy shield will continue to protect mana but will not be spent.
Blood Magic | Mechanics | While you have Blood Magic, you are neither at full mana nor low mana. [1]
Blood Magic | Mechanics | Taking this keystone along with Sanguimancy from Warlock of the Mists will provide the 50% increased Life Reservation Efficiency of Skills stat, but otherwise impart no additional benefit.
Blood Magic | Location | Blood Magic is located in the bottom left corner of the tree.
Blood Magic | Related unique items | These unique items have the Blood Magic modifier, which provides the same effect as this keystone. Taking the keystone in addition to equipping one of these items will impart no additional benefit.
Blood Siphon | Description | Blood Siphon is a notable passive skill that grants increased maximum life. It also grants additional strength and life gain on kill.
Blood Siphon | Anointment | Blight anointment to unlock the passive:
Blood-Quenched Bulwark | Description | Blood-Quenched Bulwark is a notable passive skill added by the Glorious Vanity jewel.
Bloodless | Description | Bloodless is a notable passive skill that grants increased maximum life. It also prevents enemies from leeching life from the character.
Bloodless | Anointment | Blight anointment to unlock the passive:
Bloodletting | Description | Bloodletting is a notable passive skill that grants a chance to aggravate bleeding on hit with attacks and increased damage over time multiplier for bleeding.
Bloodletting | Anointment | Blight anointment to unlock the passive:
Bloodscent | Description | Bloodscent is a notable passive skill only found on Large Cluster Jewels , or a Megalomaniac unique cluster jewel. The notable grants rage on hit with axe or sword attacks.
Bloodscent | Unique items | The following unique items are related to Bloodscent:
Bloodsoaked Blade | Description | Bloodsoaked Blade is a keystone passive skill that replaces Mana Burn and all related mechanics on tinctures with Weeping Wounds, draining life instead.
Bloodsoaked Blade | Mechanics | Weeping Wounds does the following: Weeping Wounds cause you to lose 1% of your Life per second per stack. Tinctures deactivate when you have 1 life remaining.
